;;;;;;;;;;;;;;;
;Disable;Disable;Disable;Disable;Disable;Disable;Enable;Enable;Disable;Enable;Enable;Disable;Disable;Enable;
;;;;;;;;;;;;;;;
Xiaomi Laptops;CFG Lock;RTC LOCK;FLASH RANGE PROTECTIONS;SPD WRITE DISABLE;BIOS LOCK;BIOS GUARD;FLASH WEAR OUT PROTECTION;ME FW IMAGE RE-FLASH;MC LOCK;LOCAL FW UPDATE;SPEEDSHIFT;BIOSREGIONLOCK;FLOCKDN;Overclocking;
1A GEN;0x84A;0x339;null;null;0x4B3;0x33E;0x863;0xD08;0xC92;0x1FF;0x510;null;null;0x862;
12.5 6Y30;0x84A;0x339;null;null;0x4B3;0x33E;0x863;0xD07;0xC92;NULL;0x510;null;null;null;
Mi Air 8550;0x3C;0x16;0x612;0x610;0x17;0xEC;0xF0;0x3;0x126;0x1;0xB;null;null;0xEB;
Gaming 8750h;0x3E;0x16;0x6D1;0x6CF;0x17;0xDB;null;0x3;null;0x1;0x1FB;null;;0xDA;
;;;;;;;;;;;;;;;
;Enable;0x01;;;;;;;;;;;;;
;Disable;0x00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
